movieId,starId
199,589
199,590
201,591
201,592
201,593
201,594
202,442
202,154
202,595
202,596
203,75
203,591
203,597
203,426
204,598
204,599
204,600
204,601
205,602
205,475
205,603
205,59
206,604
206,470
206,605
206,606
207,514
207,607
207,608
207,609
208,610
208,611
208,612
208,613
210,290
210,614
210,457
210,615
209,86
209,616
209,617
209,618
211,619
211,620
211,57
211,92
212,621
212,622
212,623
212,624
214,625
214,626
214,627
214,628
213,629
213,630
213,631
213,632
216,345
216,633
216,634
216,635
215,636
215,637
215,638
215,639
217,133
217,546
217,640
217,641
218,642
218,643
218,539
218,644
219,593
219,34
219,645
219,646
220,647
220,648
220,649
220,650
222,538
222,651
222,652
222,653
223,654
223,655
223,656
223,657
225,41
225,103
225,658
225,291
224,310
224,659
224,299
224,660
227,75
227,661
227,662
227,663
228,664
228,665
228,238
228,666
229,79
229,585
229,667
229,668
230,669
230,193
230,670
230,671
231,71
231,672
231,422
231,673
232,674
232,675
232,676
232,677
233,678
233,563
233,679
233,680
234,681
234,682
234,104
234,683
235,310
235,684
235,384
235,397
237,685
237,686
237,427
237,687
236,688
236,689
236,312
236,690
238,506
238,691
238,692
238,693
239,694
239,695
239,52
239,696
240,97
240,411
240,133
240,697
241,57
241,665
241,492
241,244
242,698
242,182
242,699
242,700
243,701
243,702
243,703
243,704
246,705
246,706
246,707
246,708
247,709
247,61
247,710
247,711
248,712
248,713
248,714
248,715
249,569
249,716
249,717
249,718
250,719
250,720
250,386
250,721
251,160
251,722
251,723
251,724
252,725
252,688
252,1
252,726
253,124
253,727
253,68
253,10
254,728
254,620
254,729
254,730
255,731
255,732
255,388
255,733
256,734
256,85
256,60
256,58
258,735
258,736
258,737
258,738
257,501
257,98
257,739
257,740
259,412
259,492
259,90
259,741
260,742
260,25
260,743
260,744
261,130
261,164
261,10
261,745
262,746
262,747
262,748
262,749
263,750
263,751
263,752
263,753
265,754
265,755
265,756
265,757
267,758
267,759
267,760
267,761
266,124
266,53
266,762
266,26
269,763
269,764
269,765
269,766
270,767
270,42
270,768
270,769
271,456
271,395
271,770
271,771
272,772
272,773
272,774
272,775
274,776
274,777
274,33
274,778
273,22
273,99
273,779
273,780
275,17
275,781
275,782
275,783
276,784
276,55
276,785
276,786
277,787
277,788
277,664
277,640
278,384
278,565
278,68
278,789
279,790
279,791
279,792
279,793
281,794
281,122
281,795
281,784
280,247
280,49
280,569
280,796
282,370
282,367
282,797
282,798
283,799
283,800
283,801
283,802
284,803
284,804
284,187
284,805
285,806
285,807
285,808
285,809
287,810
287,811
287,812
287,813
288,76
288,237
288,814
288,815
289,816
289,152
289,11
289,483
290,817
290,818
290,819
290,820
291,821
291,499
291,572
291,822
292,823
292,84
292,168
292,169
293,690
293,569
293,824
293,333
294,816
294,269
294,586
294,180
295,239
295,597
295,825
295,826
296,86
296,827
296,492
296,122
298,674
298,828
298,829
298,830
299,831
299,63
299,832
299,833
301,834
301,835
301,163
301,836
300,587
300,475
300,837
300,838
304,839
304,840
304,88
304,165
302,841
302,842
302,843
302,844
303,64
303,83
303,845
303,442
305,4
305,306
305,846
305,847
306,100
306,848
306,849
306,850
307,851
307,852
307,637
307,853
310,45
